year,AGE_15_19,AGE_20_24,AGE_25_29,AGE_30_44,AGE_45_59
2021,5785,6342,6707,18690,20887
2022,5824,6348,6824,19048,20803
2023,5862,6487,6942,19780,20792
2024,6004,6631,7103,20711,20926
2025,6020,6754,7168,21347,20931
2026,6060,6765,7147,21588,20855
2027,6108,6797,7153,21914,20909
2028,6143,6757,7155,22027,20823
2029,6109,6773,7130,22089,20768
2030,6084,6722,7135,22091,20756
2031,6028,6708,7083,21988,20685
2032,6024,6754,7129,22171,20809
2033,6052,6832,7179,22477,21044
2034,6115,6852,7267,22737,21328
2035,4993,5214,5505,19578,19834
2036,5100,5476,5575,19597,20513
2037,5221,5734,5796,19809,21222
2038,5216,5842,5915,19579,21630
2039,5258,5941,6173,19804,22141
2030,5329,6069,6370,20152,22598
