YEAR,SEX,RANKING_REF_YEAR,GIVEN_NAME,NUMBER
2019,1,1,Lukas,275
2019,1,2,David,197
2019,1,3,Elias,194
2019,1,4,Jakob,193
2019,1,5,Jonas,175
2019,1,6,Maximilian,165
2019,1,7,Paul,160
2019,1,8,Alexander,157
2019,1,9,Felix,145
2019,1,10,Tobias,137
2019,1,11,Matteo,133
2019,1,12,Simon,118
2019,1,13,Matthias,114
2019,1,14,Leon,108
2019,1,15,Raphael,106
2019,1,16,Johannes,103
2019,1,17,Lorenz,100
2019,1,17,Niklas,100
2019,1,19,Fabian,99
2019,1,19,Noah,99
2019,1,21,Florian,96
2019,1,21,Moritz,96
2019,1,23,Michael,94
2019,1,24,Leo,89
2019,1,25,Anton,80
2019,1,25,Sebastian,80
2019,1,27,Philipp,79
2019,1,28,Julian,75
2019,1,29,Valentin,72
2019,1,30,Luis,70
2019,1,31,Theo,68
2019,1,32,Samuel,67
2019,1,33,Ben,64
2019,1,34,Daniel,62
2019,1,34,Emil,62
2019,1,36,Benjamin,61
2019,1,36,Jonathan,61
2019,1,38,Gabriel,56
2019,1,38,Leonhard,56
2019,1,40,Dominik,52
2019,1,41,Andreas,51
2019,1,42,Markus,50
2019,1,43,Benedikt,49
2019,1,43,Nico,49
2019,1,45,Josef,47
2019,1,45,Liam,47
2019,1,47,Theodor,46
2019,1,48,Jan,44
2019,1,48,Konstantin,44
2019,1,50,Vincent,43
2019,1,51,Finn,42
2019,1,52,Max,41
2019,1,53,Thomas,38
2019,1,54,Muhammed,36
2019,1,54,Tim,36
2019,1,56,Xaver,35
2019,1,57,Adrian,34
2019,1,57,Manuel,34
2019,1,59,Stefan,32
2019,1,60,Adam,31
2019,2,1,Anna,407
2019,2,2,Marie,262
2019,2,3,Emilia,225
2019,2,4,Sophie,214
2019,2,5,Elena,185
2019,2,6,Emma,169
2019,2,7,Lena,166
2019,2,8,Luisa,134
2019,2,9,Sarah,127
2019,2,10,Laura,123
2019,2,11,Lea,120
2019,2,12,Leonie,112
2019,2,13,Johanna,106
2019,2,14,Magdalena,102
2019,2,15,Marlene,99
2019,2,16,Valentina,97
2019,2,17,Chiara,93
2019,2,18,Mia,91
2019,2,19,Katharina,79
2019,2,20,Lara,78
2019,2,20,Theresa,78
2019,2,22,Amelie,75
2019,2,23,Isabella,70
2019,2,24,Lisa,67
2019,2,24,Nora,67
2019,2,26,Lina,63
2019,2,26,Viktoria,63
2019,2,28,Annika,62
2019,2,29,Julia,58
2019,2,30,Valerie,55
2019,2,31,Ella,52
